postcode,Lat_precise,Long_precise
852,-15.6848,131.672
852,-16.6797,133.412
852,-14.3044,132.082
852,-14.2547,131.893
852,-14.9948,133.471
852,-15.0842,133.124
852,-14.577,132.028
852,-13.6636,134.349
852,-15.6379,130.867
852,-13.6601,134.353
852,-17.6566,130.907
852,-18.4336,133.876
852,-14.9615,133.293
852,-17.4333,130.833
852,-17.4333,130.833
852,-14.4521139,132.2715145
852,-18.3325453,130.6337664
852,-15.5748288,133.2170993
852,-14.8928,135.01
852,-14.6762852,132.0873958
852,-14.5267,132.787
852,-14.9234,133.066
852,-16.625,135.8
852,-15.2254,134.08
852,0,0
852,-14.7328,134.732
852,-14.0753,131.983
852,-14.2762335,135.740254
852,-16.4713,134.287
852,-15.6608,136.814
852,-16.7872,131.214
852,-16.1585,137.175
852,-15.6591,132.612
852,-16.7552,132.571
852,-15.6432,130.467
852,-16.5503,131.803
852,-14.4858,132.32
852,-14.5934,132.48
852,-16.7123,130.518
852,-15.6164,131.128
852,-19.4366,134.223
852,-17.433333,130.833333
852,-14.4025,135.086
852,-16.4526,130.842
853,-14.5473,132.374
853,-14.5129,132.365
854,-16.0684461,136.3097128
854,-15.9335,136.483
860,-19.6573896,134.1815176
861,-18.874571,134.500504
861,-19.648362,134.1899907
862,-20.0303016,137.4905275
862,-17.1338,137.494
862,-19.2033786,136.3866597
862,-17.553611,133.544722
862,-18.260772,133.9974132
862,-18.9177993,136.516262
862,-17.366667,133.4
862,-19.0601,136.689
862,-18.3189,133.795
862,-18.7922,134.031
862,-18.3182596,133.7947048
862,-19.7089,135.827
862,-19.648362,134.1899907
862,-19.6484,134.19
862,-18.9177993,136.516262
862,-18.9177993,136.516262
862,-20.8,134.233
870,-23.698042,133.8807471
870,-23.6961,133.853
870,-23.6753,133.865
870,-23.6926,133.87
870,-23.7142,133.889
870,-23.6887,133.901
870,-23.7085,133.865
870,-23.7044,133.903
870,-23.6765,133.882
870,-23.7146,133.874
870,-23.7549,133.772
871,-23.698042,133.8807471
872,-21.6721,135.232
872,-21.0027811,134.4048542
872,-23.698042,133.8807471
872,-26.1508962,131.1466585
872,-25.1299,132.57
872,-23.7637984,133.9293711
872,-21.6565,135.225
872,-23.5887,131.281
872,-22.6893,136.411
872,-22.2457,133.425
872,-23.5887,131.281
872,-24.073056,132.269167
872,-22.9797,134.932
872,-26.1906,133.268
872,-25.3444,131.037
872,-21.3799,133.976
872,-23.5343,133.863
872,-20.64,135.588
872,-21.5428,131
872,-21.152,136.998
872,-21.5123,133.905
872,-26.5561,133.311
872,-24.8742,129.084
872,-22.8053,134.458
872,-25.1977877,133.2007976
872,-26.2796,132.134
872,-26.2796,132.134
872,-25.5815982,134.5776916
872,-26.7655,132.028
872,-25.199,133.202
872,-22.2876036,126.8924386
872,-25.0143,126.93
872,-23.447,131.882
872,-23.6812,134.218
872,-22.9799,134.919
872,-23.1667,134.833
872,-23.9431,132.778
872,-23.8128,133.847
872,-25.1299,132.57
872,-25.1299,132.57
872,-26.9661,133.308
872,-26.9661,133.308
872,-25.3476,131.065
872,-25.1299,132.57
872,-26.9661,133.308
872,-23.8254,133.482
872,-26.1171,129.152
872,-26.7655,132.028
872,-24.8742,129.084
872,-25.1299,132.57
872,-26.1676,130.118
872,-25.1299,132.57
872,-23.276389,129.390278
872,-22.8151,127.762
872,-25.8436,133.288
872,-23.1989,131.801
872,-22.5939,128.695
872,-26.9884,134.021
872,-22.5421,132.761
872,-25.1299,132.57
872,-25.1299,132.57
872,-23.8953,131.826
872,-27.0061,132.71
872,-23.2652,131.271
872,-23.6851,132.674
872,-22.4526,134.211
872,-26.1593,130.184
872,-26.1593,130.184
872,-25.3507,131.067
872,-23.954,132.773
872,-25.1299,132.57
872,-25.0555,128.311
872,-26.1758,130.221
872,-22.6523,130.569
872,-25.1299,132.57
872,-23.2039,131.915
872,-24.6163,126.314
872,-24.2521,131.511
872,-26.1621,129.171
872,-23.5887,131.281
872,-26.2796,132.134
872,-21.8147,135.936
872,-24.129318,134.3741498
872,-25.0466,136.744
872,-19.9564,129.697
872,-21.4896,133.996
872,-25.1299,132.57
872,-23.5887,131.281
872,-22.1285552,133.4172066
872,-26.1045,133.819
872,-24.6802,134.075
872,-26.0017,125.471
872,-24.3475,128.719
872,-25.3444277,131.0368822
872,-23.5887,131.281
872,-26.4662,132.041
872,-21.8998,134.841
872,-24.1236,133.09
872,-23.5887,131.281
872,-25.0011,128.288
872,-27.0236,129.901
872,-26.5224,131.881
872,-21.2477653,132.6111369
872,-21.7463,133.726
872,-26.0644,128.931
872,-20.4632,135.251
872,-22.2569675,132.2074134
872,-22.2538136,131.7957309
872,-25.2334936,130.9848698
872,-26.3271,132.447
873,-23.7638,133.929
873,-23.7695,133.868
873,-23.7721,133.912
873,-23.7638,133.929
873,-23.7548,133.82
873,-23.7499,133.876
873,-23.7455,133.901
874,-23.6407,133.866
874,-23.723,133.89
874,-23.6848,133.922
875,-23.7208,133.865
875,-23.6931,133.831
